Iteration	GP_regression.rbf.variance	GP_regression.rbf.lengthscale[[0]]	GP_regression.rbf.lengthscale[[1]]	GP_regression.rbf.lengthscale[[2]]	GP_regression.rbf.lengthscale[[3]]	GP_regression.rbf.lengthscale[[4]]	GP_regression.rbf.lengthscale[[5]]	GP_regression.rbf.lengthscale[[6]]	GP_regression.Gaussian_noise.variance
1.0	0.9615810268493615	0.6920193514481632	0.017223604839807553	0.6850723298732184	0.03953381005142878	0.13434057255355433	0.13433444828968688	0.13433409354444698	0.0027173759009689897
2.0	0.9615810268493615	0.6920193514481632	0.017223604839807553	0.6850723298732184	0.03953381005142878	0.13434057255355433	0.13433444828968688	0.13433409354444698	0.0027173759009689897
3.0	0.9538646967793745	0.9119812654264469	0.024730275415468427	0.6221375805682994	0.05751620557127994	0.13433507267647382	0.13433570895988958	0.13433574581826363	0.0010085868367538887
4.0	0.9439186889141602	1.0114278467582756	0.022746767324187837	0.9774165824075699	0.05941284293895442	0.1343358528388841	0.13433553012432572	0.1343355114301267	0.0006083429867457661
5.0	0.9520278814906633	1.0699939897635824	0.023086840328270932	1.0179557980063807	0.11038936064679739	0.13433595378302038	0.13433550698120966	0.13433548109777607	0.00045966843758210086
6.0	0.9528258449275654	1.2533726917178354	0.02421429411572267	1.185524917890944	0.12249476007445054	0.134332704304139	0.13433625188801698	0.13433645739862116	0.0003188364465595893
7.0	0.9591467047691458	1.5518101583506199	0.026687937038551837	1.2293454573953884	0.14003844108092675	0.13432225359984956	0.13432608446578584	0.13432244540961608	0.00023628719801194694
8.0	0.9635489904945542	1.6457510389003782	0.027704160579088997	1.3303668484413742	0.14234959712578654	0.13433812344022336	0.134333867273997	0.13432513540152016	0.00021169676572776322
9.0	0.9657651019885036	1.6759721498450864	0.027055940237082042	1.3268438172735415	0.1426140785780627	0.1343166599290654	0.13432820313510715	0.13433643408872373	0.0002152621073420124
10.0	0.969834502642147	1.897265166303657	0.026561266814063213	1.5380189503146544	0.1472218712410304	0.1343400603850752	0.13433485463226386	0.13433185010810647	0.00016758786652684476
11.0	0.9762380830383492	1.885379097298212	0.02696497468047152	1.5570288842046653	0.15213251423322519	0.1343627215023822	0.1343270233260693	0.13434379772400895	0.0001729177376952703
12.0	0.9785991574474215	2.0079803038705055	0.026534248906482767	1.7253815321583459	0.15184734181605958	0.13434088663043656	0.13431856249318183	0.13433767779589	0.0001579572607338734
13.0	0.9849485460589467	2.0965746052145366	0.027033988110341956	1.79195810698404	0.15439864921200422	0.13431810284659967	0.1343314018840615	0.1343735739116213	0.00014658930857997006
14.0	0.9901384217118488	2.166817786943353	0.026765843596600065	1.9189563409846502	0.15962127030912854	0.13432905844639817	0.13434892540680474	0.13433906188130967	0.00014819198574956102
15.0	0.9855348346951509	1.5216922752872764	0.030650225801229784	1.8367082515782773	0.18121560589774374	0.13434185556405026	0.13437195621207942	0.13434396463974807	0.00014999428440451795
16.0	0.9905059718358817	1.5598406832133918	0.03107158956270441	2.0008703231304144	0.18805128748882918	0.1343257226685903	0.13434317942241433	0.1343284965314753	0.00014077397229054234
17.0	0.9871453126361169	1.5210459905438072	0.06833610162560659	0.6867683497718916	0.20953389100659575	0.13429947873384324	0.13433813223458038	0.13431751078432996	0.00014787075936410258
18.0	0.9869395354042386	1.4500235312320842	0.06377222448334217	0.6683302756233651	0.20095445393467187	0.13434158021830078	0.13433217617164186	0.13432826821128407	0.00016414889973693212
19.0	0.9896680620758651	1.4790016994923485	0.0723719586496491	0.655762629248141	0.20613461770750552	0.13433249374486808	0.13433604082571124	0.13433322056219937	0.00014768908077870025
20.0	0.9908883273619148	1.4961200283511813	0.0767369808880178	0.6406170071718303	0.2080946167068655	0.13434612302081278	0.13434061223062072	0.13438272971946996	0.00014145347938090416
21.0	0.9930141307233563	1.5063555669626238	0.0776621207588104	0.6490615503122616	0.2097738522886248	0.1343255839954349	0.13433237801999412	0.13433185659493613	0.00014095014375530961
