Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7
1.0	-4.237671957671958	0.9478196559528005	0.19468844971742127	1.4973896785930967	0.11714977210521255	0.0	2.0	1.0
2.0	-4.939896103896103	2.8443035549144575	0.04496369551830588	2.466253389372725	0.14055620545317024	0.0	2.0	1.0
3.0	-1.3706128133704734	0.3755035480677644	0.04302512840628121	4.308440154288176	0.07711170975556846	1.0	2.0	2.0
4.0	-5.469716981132076	4.781734049882925	0.17883133042365815	5.4198614652506265	0.08389547040488915	1.0	0.0	0.0
5.0	0.3850800000000002	4.197247132224518	0.13192428472137613	1.1020329875810262	0.12014593117382383	2.0	1.0	2.0
6.0	-5.237374631268436	1.0803634591216587	0.0367534678875836	2.2764241917071706	0.01090271886567269	0.0	1.0	0.0
7.0	-5.363411764705882	0.6105602188596697	0.18584138511738924	1.2211532980908024	0.030742800897148516	0.0	1.0	0.0
8.0	-5.41785498489426	4.143214945140098	0.06958004005939714	3.7234933477767047	0.15869011495755336	1.0	0.0	0.0
9.0	-5.248384146341463	1.2368886336215228	0.04560527090656026	2.7910679910316105	0.022885622910698157	1.0	0.0	0.0
10.0	-5.517815384615385	2.2880950279518735	0.12951021331045048	3.396221527767775	0.07494235788076016	0.0	2.0	0.0
11.0	-1.3935166425470333	4.509300903559307	0.1322177468669367	4.69608256785293	0.11580764679163327	1.0	0.0	0.0
12.0	-5.55108695652174	1.6509170015908299	0.11312046215846011	3.5222691571077194	0.09485664591990099	0.0	2.0	0.0
13.0	-5.3801465201465195	2.4854525486629946	0.11621404424438228	4.227637716503527	0.09017286154459934	0.0	2.0	0.0
14.0	-4.59546783625731	2.6301931223633086	0.11896190411212575	3.1491033407297295	0.15633796509020778	0.0	2.0	0.0
15.0	-5.238571428571429	1.1594362880971858	0.13789518600982034	4.429287608674794	0.06448105802828297	0.0	2.0	0.0
16.0	-5.444470989761093	3.031006792685589	0.04252201413860307	3.1101382206918333	0.12471535454273884	1.0	0.0	0.0
17.0	-5.3046875	2.394221132375036	0.07747269938366373	2.316705845477294	0.1555546342742523	1.0	0.0	0.0
18.0	-4.632336182336182	3.2569090240249707	0.2	5.5	0.0	1.0	0.0	0.0
19.0	-5.154	0.07732903804186918	0.13108190291834027	2.254651490110572	0.0	0.0	2.0	0.0
20.0	-5.324922118380062	0.07355848183964206	0.15572561176911898	2.3332219912463734	0.16273859566477317	0.0	1.0	0.0
21.0	-5.197121661721067	1.3787298843440832	0.06140979051601422	4.636410628881437	0.2	1.0	0.0	0.0
22.0	-5.147179487179487	0.049863628062833724	0.08561883157067536	4.667244817969537	0.0	0.0	2.0	0.0
23.0	-5.288722044728434	5.013715082574939	0.06138974599187823	1.491555103445699	0.0	1.0	0.0	0.0
24.0	1.0527956989247318	3.234498317626049	0.17984193932058087	2.1880756330105937	0.1999997972032762	0.0	1.0	0.0
25.0	-5.393636363636364	-0.5	0.15380250467576848	0.15157002836776295	0.0	0.0	1.0	0.0
26.0	-0.3529681978798586	5.5	0.2	3.95045632566571	0.2	1.0	0.0	0.0
27.0	-3.778125	-0.5	0.0981126132738358	1.505949537685672	0.050582342738949834	0.0	1.0	0.0
28.0	-5.515627009646302	3.1152032714999405	0.0	4.0624627981370995	0.2	1.0	0.0	0.0
29.0	-5.069732142857142	5.186163068778863	0.0	3.412894362364101	0.2	1.0	0.0	0.0
30.0	-5.191520467836257	-0.31935728108508393	0.08257382572957583	3.053157187045646	0.08442182860919066	0.0	1.0	0.0
