Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7
1.0	-3.3861271676300575	1.3678473643009381	0.10410040126872272	2.260070240732311	0.08831331385225119	2.0	0.0	2.0
2.0	-5.710876068376069	3.9155409936665304	0.05483417946055156	5.197495873516584	0.014801289369814664	2.0	1.0	1.0
3.0	-5.522668680765357	2.9685056130273644	0.12681852188121642	4.526503046657793	0.15996247012274642	1.0	1.0	1.0
4.0	0.9522352941176481	0.029402493854100875	0.11016143623611219	0.5726915686008816	0.06272546335201652	0.0	0.0	2.0
5.0	-0.20999999999999966	4.534526296226539	0.07518406723723912	2.062230211354275	0.19483645636234678	0.0	2.0	1.0
6.0	0.20193548387096802	-0.21578899634813098	0.15534201637630762	3.266486943193195	0.19388701729856606	1.0	0.0	0.0
7.0	1.0851162790697684	0.5664892651732836	0.19949533239297387	4.836181959487678	0.008447510212455378	0.0	1.0	2.0
8.0	0.6831896551724144	0.17208911350396594	0.18394432996879345	3.1258980559701666	0.18543903568469378	0.0	0.0	0.0
9.0	-0.4298913043478255	0.7043070583352129	0.07789646379007893	0.2789081417926602	0.10226637412321832	2.0	0.0	2.0
10.0	0.6043089430894315	1.983595063006483	0.14153290402833854	2.838632285128649	0.06847766442445398	0.0	1.0	1.0
11.0	-5.478767676767676	3.44065549405166	0.06960865631741234	4.920426959184463	0.00923308845034499	2.0	1.0	1.0
12.0	-5.676252129471891	4.435901427295934	0.09573991309529005	4.636847979440266	0.013532088519486755	2.0	1.0	1.0
13.0	-5.302595190380761	4.08032022179365	0.17725653476477501	5.466793763668171	2.4695536137386534e-05	2.0	1.0	1.0
14.0	-5.509503619441572	3.770609033257465	0.16271731274560736	5.261493050825433	0.09455769631147667	1.0	1.0	1.0
15.0	-5.468341915550979	4.030916124354432	0.1392372853535326	4.9160706030963075	0.17439522278451752	2.0	1.0	1.0
