Iteration	GP_regression.rbf.variance	GP_regression.rbf.lengthscale[[0]]	GP_regression.rbf.lengthscale[[1]]	GP_regression.rbf.lengthscale[[2]]	GP_regression.rbf.lengthscale[[3]]	GP_regression.rbf.lengthscale[[4]]	GP_regression.rbf.lengthscale[[5]]	GP_regression.rbf.lengthscale[[6]]	GP_regression.Gaussian_noise.variance
1.0	0.8669142850237481	1.105852214281294	0.07792086578101044	0.8599917156534459	0.052736772944201135	0.1343355908366651	0.1343355901814381	0.1343355907489905	0.00022437987544544484
2.0	0.8669142850237481	1.105852214281294	0.07792086578101044	0.8599917156534459	0.052736772944201135	0.1343355908366651	0.1343355901814381	0.1343355907489905	0.00022437987544544484
3.0	0.8210514596847502	1.3901084495612785	0.1265677699154321	1.111190898773126	0.05599229459303224	0.13433818277564602	0.13433556274443403	0.1343329040590978	0.0001106420486404225
4.0	0.7964193960901824	1.435875582609776	0.2923851043163386	1.262062115548811	0.08927671012564199	0.13433553017563163	0.13433559094719294	0.1343356527933784	5.401618059816563e-05
5.0	0.7932457386716523	1.6406198516783141	0.315585315631236	1.4665069526935322	0.1495406800350379	0.13433466000958222	0.134335600100404	0.13433655582462362	3.919437103707102e-05
