Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7
1.0	-4.9598706896551725	2.1311124240816	0.13254392119876843	1.9641228879448516	0.004625200948826525	1.0	2.0	0.0
2.0	-4.774813278008299	0.5862171708327746	0.18909939583506227	4.183985878809339	0.018834777364704694	1.0	1.0	2.0
3.0	-5.144291497975708	2.3738112921182655	0.015371970333332798	1.4528545047094559	0.000542753638580562	1.0	1.0	2.0
4.0	0.6368181818181822	4.511244388649624	0.03438848212790169	0.5816472884910717	0.03031296526141516	0.0	1.0	2.0
5.0	1.6951724137931046	4.9711802482370135	0.13341587301666813	4.618484454065746	0.096650531983623	0.0	1.0	2.0
6.0	-5.208876404494382	4.446293508453766	0.18691742247437995	5.479350553414679	0.09169318769148514	1.0	1.0	2.0
7.0	0.1306619718309859	4.532202014188055	0.0006015598579301785	0.1880680314976788	0.06252640875603784	2.0	0.0	1.0
8.0	0.9527184466019424	5.052660213334711	0.15677145383303956	0.7529610003324965	0.1584241234960979	0.0	1.0	1.0
9.0	0.39689795918367365	2.6525830793416647	0.03407884566765234	0.9956621151420191	0.07570172732430246	0.0	0.0	2.0
10.0	1.0363829787234051	0.2421347577019035	0.12251330710252509	4.789588839823628	0.06255739418047253	0.0	2.0	1.0
11.0	-4.71549504950495	2.0314105473942847	0.046846765534060406	1.90060788430084	0.00018523152958483944	1.0	1.0	2.0
12.0	-4.839497907949791	2.8141275471740035	0.01983772045770008	2.0224463082873663	0.0374406847993469	1.0	1.0	2.0
13.0	-4.860235849056603	2.8987505954539303	0.17997005883452788	4.8193614552439845	0.06096315182397522	1.0	1.0	2.0
14.0	-5.084372294372294	4.0929090278423335	0.10991684323519295	-0.10560663365119045	0.0	1.0	1.0	2.0
15.0	-4.5390476190476186	1.9963607541465211	0.0	-0.5	0.1634499328670029	1.0	1.0	2.0
